400186733, 1.552426, 0.02, 0, 1.100050 
400186733, 1.554818, 0.04, 0, 1.100100 
400186733, 1.557131, 0.06, 0, 1.100150 
400186733, 1.559371, 0.08, 0, 1.100199 
400186733, 1.571330, 0.20, 0, 1.100493 
400186733, 1.579673, 0.30, 0, 1.100735 
400186733, 1.593060, 0.50, 0, 1.101209 
400186733, 1.603245, 0.70, 0, 1.101671 
400186733, 1.611313, 0.90, 0, 1.102122 
400186733, 1.644933, 2, 0, 1.104424 
400186733, 1.658048, 2.300000, 0, 1.105006 
400186733, 1.670232, 2.500000, 0, 1.105384 
400186733, 1.698488, 2.800000, 0, 1.105937 
400186733, 1.729661, 3, 0, 1.106297 
400186733, 1.820188, 3.300000, 0, 1.106825 
400186733, 1.959596, 3.500000, 0, 1.107169 
400186733, 2.826921, 3.800000, 0, 1.107672 
400186733, 4.414500, 3.900000, 0, 1.107837 
400186733, 5.230017, 3.920000, 0, 1.107870 
400186733, 6.603810, 3.940000, 0, 1.107902 
400186733, 9.325464, 3.960000, 0, 1.107935 
400186733, 17.172140, 3.980000, 0, 1.107968 
400186733, 31.578517, 3.990000, 0, 1.107984 


